Salt%20is%20100%25%20composed%20of%20Sodium.,False
What%20was%20the%20category%20of%20the%202005%20hurricane%2C%20Hurricane%20Katrina%2C%20in%20the%20Saffir-Simpson%20hurricane%20wind%20scale%3F,Category%205
What%20does%20CPR%2C%20the%20emergency%20procedure%20to%20assist%20someone%20who%20has%20suffered%20cardiac%20arrest%2C%20stand%20for%3F,Cardiopulmonary%20resuscitation
This%20element%2C%20when%20overcome%20with%20extreme%20heat%20and%20pressure%2C%20creates%20diamonds.,Carbon
All%20of%20the%20following%20human%20genetic%20haplogroup%20names%20are%20shared%20between%20Y-chromosome%20and%20mitochondrial%20DNA%20haplogroups%20EXCEPT%3A,Haplogroup%20U
Along%20with%20Oxygen%2C%20which%20element%20is%20primarily%20responsible%20for%20the%20sky%20appearing%20blue%3F,Nitrogen
The%20Axiom%20of%20Preventive%20Medicine%20states%20that%20people%20with%20___%20risk%20for%20a%20disease%20should%20be%20screened%20and%20we%20should%20treat%20___%20of%20those%20people.,low%2C%20all
All%20planets%20in%20the%20Solar%20System%20orbit%20the%20Sun.,True
What%20is%20the%20name%20for%20the%20auditory%20illusion%20of%20a%20note%20that%20seems%20to%20be%20rising%20infinitely%3F,Shepard%20Tone
Upwelling%20in%20the%20ocean%20provides%20colder%20nutrient%20rich%20water%20for%20plants%20and%20decomposers.,True
A%20person%20can%20get%20sunburned%20on%20a%20cloudy%20day.,True
Which%20of%20the%20following%20men%20does%20not%20have%20a%20chemical%20element%20named%20after%20him%3F,Sir%20Isaac%20Newton
What%20is%20the%20elemental%20symbol%20for%20mercury%3F,Hg
An%20Astronomical%20Unit%20is%20the%20distance%20between%20Earth%20and%20the%20Moon.,False
In%20human%20biology%2C%20a%20circadium%20rhythm%20relates%20to%20a%20period%20of%20roughly%20how%20many%20hours%3F,24
Igneous%20rocks%20are%20formed%20by%20excessive%20heat%20and%20pressure.,False
What%20is%20the%20half-life%20of%20Uranium-235%3F,703%2C800%2C000%20years
How%20many%20hearts%20does%20an%20octopus%20have%3F,Three
Centripetal%20force%20is%20an%20apparent%20force%20that%20acts%20outward%20on%20a%20body%20moving%20around%20a%20center%2C%20arising%20from%20the%20body%27s%20inertia.,False
An%20organism%20described%20as%20%22heliotropic%22%20has%20a%20tendancy%20to%20move%20towards%20which%20of%20these%20things%3F,Light
Which%20element%20has%20the%20chemical%20symbol%20%27Fe%27%3F,Iron
At%20what%20temperature%20does%20water%20boil%3F,212%C2%B0F
What%20is%20the%20standard%20SI%20unit%20for%20distance%3F,Metre
Which%20of%20these%20is%20NOT%20a%20part%20of%20the%20structure%20of%20a%20typical%20neuron%3F,Islets%20of%20Langerhans
An%20atom%20contains%20a%20nucleus.,True
What%20is%20the%20colour%20of%20unoxidized%20blood%3F,Red
Which%20of%20the%20following%20is%20considered%20classical%20conditioning%3F,Pavlov%27s%20dog%20experiments
Psychology%20is%20the%20science%20of%20behavior%20and%20mind.,True
Shrimp%20can%20swim%20backwards.,True
Which%20of%20the%20following%20is%20a%20major%20muscle%20of%20the%20back%3F,Trapezius
The%20humerus%2C%20paired%20radius%2C%20and%20ulna%20come%20together%20to%20form%20what%20joint%3F,Elbow
Tetsuya%20Fujita%20was%20a%20scientist%20that%20developed%20the%20scale%20for%20which%20natural%20disaster%3F,Tornadoes
Which%20of%20the%20following%20spacecraft%20never%20touched%20the%20moon%3F,Mariner%204
Scientists%20accidentally%20killed%20the%20once%20known%20world%27s%20oldest%20living%20creature%2C%20a%20mollusc%2C%20known%20to%20be%20aged%20as%20507%20years%20old.,True
What%20is%20the%20unit%20of%20electrical%20capacitance%3F,Farad
Which%20type%20of%20rock%20is%20created%20by%20intense%20heat%20AND%20pressure%3F,Metamorphic
What%20is%20the%20unit%20of%20electrical%20resistance%3F,Ohm
Which%20horizon%20in%20a%20soil%20profile%20consists%20of%20bedrock%3F,R
Which%20of%20the%20following%20is%20not%20one%20of%20the%20groups%20on%20the%20periodic%20table%3F,Fluorines
The%20shape%20of%20the%20Earth%20is%20a%20perfect%20sphere.,False
What%20mineral%20has%20the%20lowest%20number%20on%20the%20Mohs%20scale%3F,Talc
How%20many%20degrees%20Fahrenheit%20is%20100%20degrees%20Celsius%3F%20,212
The%20%27Islets%20of%20Langerhans%27%20is%20found%20in%20which%20human%20organ%3F,Pancreas
What%20common%20name%20is%20given%20to%20the%20medial%20condition%2C%20tibial%20stress%20syndrome%20%28MTSS%29%3F,Shin%20Splints
Hippopotomonstrosesquippedaliophobia%20is%20the%20irrational%20fear%20of%20long%20words.,True
Gannymede%20is%20the%20largest%20moon%20of%20which%20planet%3F,Jupiter
What%20is%20the%20atomic%20number%20of%20the%20element%20Strontium%3F,38
What%20is%20the%20standard%20SI%20unit%20for%20mass%3F,Kilogram
Which%20of%20these%20is%20a%20semiconductor%20amplifying%20device%3F,transistor
Deuterium%20is%20an%20isotope%20of%20which%20element%3F,Hydrogen
How%20many%20planets%20make%20up%20our%20Solar%20System%3F,8
About%20how%20old%20is%20Earth%3F,4.5%20Billion%20Years
Anatomy%20considers%20the%20forms%20of%20macroscopic%20structures%20such%20as%20organs%20and%20organ%20systems.,True
What%20causes%20Lyme%20disease%3F,A%20bacteria
All%20the%20following%20metal%20elements%20are%20liquids%20at%20or%20near%20room%20temperature%20EXCEPT%3A,Beryllium
What%20is%20the%20medical%20term%20for%20low%20blood%20sugar%3F,Hypoglycemia
What%20is%20the%20thin%2C%20outermost%20layer%20of%20the%20Earth%3F,Crust
Which%20of%20these%20is%20used%20to%20show%20that%20Earth%20spins%20on%20an%20axis%3F%20,Foucault%20Pendulum%20
Which%20of%20the%20following%20blood%20vessels%20carries%20deoxygenated%20blood%3F,Pulmonary%20Artery
Approximately%20how%20long%20is%20a%20year%20on%20Uranus%3F,84%20Earth%20years
Which%20of%20the%20following%20liquids%20is%20least%20viscous%3F%20Assume%20temperature%20is%2025%C2%B0C.,Acetone
What%20does%20the%20yellow%20diamond%20on%20the%20NFPA%20704%20fire%20diamond%20represent%3F,Reactivity
